Country,country_type,election_year,election_date,largest_electorate,largest_winner,second_electorate,second_winner,third_electorate,third_winner,national_winner
Portugal,Developed,1980,1980-12-07,Lisboa,Ramalho Eanes,Porto,Ramalho Eanes,Set£bal,Ramalho Eanes,Ramalho Eanes
Portugal,Developed,1986,1986-01-26,Lisboa,M rio Soares,Porto,M rio Soares,Set£bal,M rio Soares,M rio Soares
Portugal,Developed,1991,1991-01-13,Lisboa,M rio Soares,Porto,M rio Soares,Set£bal,M rio Soares,M rio Soares
Portugal,Developed,1996,1996-01-14,Lisboa,Jorge Sampaio,Porto,Jorge Sampaio,Set£bal,Jorge Sampaio,Jorge Sampaio
Portugal,Developed,2001,2001-01-14,Lisboa,Jorge Sampaio,Porto,Jorge Sampaio,Set£bal,Jorge Sampaio,Jorge Sampaio
Portugal,Developed,2006,2006-01-22,Lisboa,An¡bal Cavaco Silva,Porto,An¡bal Cavaco Silva,Set£bal,Manuel Alegre,An¡bal Cavaco Silva
Portugal,Developed,2011,2011-01-23,Lisboa,An¡bal Cavaco Silva,Porto,An¡bal Cavaco Silva,Set£bal,Francisco Lopes,An¡bal Cavaco Silva
Portugal,Developed,2016,2016-01-24,Lisboa,Marcelo Rebelo de Sousa,Porto,Marcelo Rebelo de Sousa,Set£bal,Marcelo Rebelo de Sousa,Marcelo Rebelo de Sousa
Portugal,Developed,2021,2021-01-24,Lisboa,Marcelo Rebelo de Sousa,Porto,Marcelo Rebelo de Sousa,Set£bal,Marcelo Rebelo de Sousa,Marcelo Rebelo de Sousa
Sri Lanka,Developing,1982,1982-10-20,Homagama, J.R. Jayawardene,Kaduwela, J.R. Jayawardene,Kesbewa, H.S.R.B. Kobbekaduwa, J.R. Jayawardene
Sri Lanka,Developing,1988,1988-12-19,Homagama,Sirimavo Bandaranaike,Kaduwela,Sirimavo Bandaranaike,Kesbewa,Sirimavo Bandaranaike,Ranasinghe Premadasa
Sri Lanka,Developing,1994,1994-11-09,Homagama,Chandrika Kumaratunga,Kaduwela,Chandrika Kumaratunga,Kesbewa,Chandrika Kumaratunga,Chandrika Kumaratunga
Sri Lanka,Developing,1999,1999-12-21,Homagama,Chandrika Kumaratunga,Kaduwela,Chandrika Kumaratunga,Kesbewa,Chandrika Kumaratunga,Chandrika Kumaratunga
Sri Lanka,Developing,2005,2005-11-17,Homagama,Mahinda Rajapaksa,Kaduwela,Mahinda Rajapaksa,Kesbewa,Mahinda Rajapaksa,Mahinda Rajapaksa
Sri Lanka,Developing,2010,2010-01-26,Homagama,Mahinda Rajapaksa,Kaduwela,Mahinda Rajapaksa,Kesbewa,Mahinda Rajapaksa,Mahinda Rajapaksa
Sri Lanka,Developing,2015,2015-01-08,Homagama,Mahinda Rajapaksa,Kaduwela,Mahinda Rajapaksa,Kesbewa,Mahinda Rajapaksa,Maithripala Sirisena
Sri Lanka,Developing,2019,2019-11-16,Homagama,Gotabaya Rajapaksa,Kaduwela,Gotabaya Rajapaksa,Kesbewa,Gotabaya Rajapaksa,Gotabaya Rajapaksa
Sri Lanka,Developing,2024,2024-09-21,Homagama,Anura Kumara Dissanayake,Kaduwela,Anura Kumara Dissanayake,Kesbewa,Anura Kumara Dissanayake,Anura Kumara Dissanayake
Indonesia,Developing,2004,2004-09-20,West Java,Susilo Bambang Yudhoyono,East Java,Susilo Bambang Yudhoyono,Central Java,Megawati Soekarnoputri,Susilo Bambang Yudhoyono
Indonesia,Developing,2009,2009-07-08,West Java,Susilo Bambang Yudhoyono,East Java,Susilo Bambang Yudhoyono,Central Java,Susilo Bambang Yudhoyono,Susilo Bambang Yudhoyono
Indonesia,Developing,2014,2014-07-09,West Java,Prabowo Subianto,East Java,Prabowo Subianto,Central Java,Joko Widodo,Joko Widodo
Indonesia,Developing,2019,2019-04-17,West Java,Prabowo Subianto,East Java,Joko Widodo,Central Java,Joko Widodo,Joko Widodo
Indonesia,Developing,2024,2024-02-14,West Java,Prabowo Subianto,East Java,Prabowo Subianto,Central Java,Prabowo Subianto,Prabowo Subianto
Brazil,Developing,1989,1989-11-15,SÆo Paulo,Fernando Collor,Minas Gerais,Fernando Collor,Rio de Janeiro,Fernando Collor,Fernando Collor
Brazil,Developing,1994,1994-10-03,SÆo Paulo,Fernando Henrique Cardoso,Minas Gerais,Fernando Henrique Cardoso,Rio de Janeiro,Fernando Henrique Cardoso,Fernando Henrique Cardoso
Brazil,Developing,1998,1998-10-04,SÆo Paulo,Fernando Henrique Cardoso,Minas Gerais,Fernando Henrique Cardoso,Rio de Janeiro,Fernando Henrique Cardoso,Fernando Henrique Cardoso
Brazil,Developing,2002,2002-10-27,SÆo Paulo,Jos‚ Serra,Minas Gerais,Lula,Rio de Janeiro,Lula,Lula
Brazil,Developing,2006,2006-10-29,SÆo Paulo,Geraldo Alckmin,Minas Gerais,Lula,Rio de Janeiro,Lula,Lula
Brazil,Developing,2010,2010-10-31,SÆo Paulo,Jos‚ Serra,Minas Gerais,Dilma Rousseff,Rio de Janeiro,Dilma Rousseff,Dilma Rousseff
Brazil,Developing,2014,2014-10-26,SÆo Paulo,A‚cio Neves,Minas Gerais,Dilma Rousseff,Rio de Janeiro,Dilma Rousseff,Dilma Rousseff
Brazil,Developing,2018,2018-10-28,SÆo Paulo,Jair Bolsonaro,Minas Gerais,Jair Bolsonaro,Rio de Janeiro,Jair Bolsonaro,Jair Bolsonaro
Brazil,Developing,2022,2022-10-30,SÆo Paulo,Jair Bolsonaro,Minas Gerais,Lula,Rio de Janeiro,Jair Bolsonaro,Lula
